site,lat,lon,ele,village,catch_site,X,Y
HKT1,16.85805,98.47833,211,HKT,site 1,444429.4816,1863925.294
HKT2,16.85912,98.47657,202,HKT,site 2,444242.3081,1864044.161
HKT3,16.85953,98.47563,199,HKT,site 3,444142.2939,1864089.784
HKT4,16.85838,98.47563,194,HKT,site 4,444141.9562,1863962.562
HKT5,16.85666,98.47427,193,HKT,site 5,443996.5737,1863772.668
HPN1,17.14825,98.29453,152,HPN,site 1,424965.2023,1896091.516
HPN2,17.14792,98.29537,148,HPN,site 2,425054.4172,1896054.683
HPN3,17.147,98.2959,145,HPN,site 3,425110.4225,1895952.696
HPN4,17.145916,98.2951,150,HPN,site 4,425024.8942,1895833.078
HPN5,17.14555,98.29446,143,HPN,site 5,424956.6721,1895792.833
KNH1,17.180616,98.25033,129,KNH,site 1,420277.638,1899689.921
KNH2,17.18146,98.2494,137,KNH,site 2,420179.0954,1899783.679
KNH3,17.176116,98.24776,173,KNH,site 3,420002.3922,1899193.122
KNH4,17.175416,98.24756,175,KNH,site 4,419980.8216,1899115.761
KNH5,17.17563,98.24945,167,KNH,site 5,420181.9172,1899138.658
TOT1,16.3629,98.5744,306,TOT,site 1,454547.131,1809125.591
TOT2,16.360082,98.573848,289,TOT,site 2,454487.5249,1808813.985
TOT3,16.3604,98.57543,288,TOT,site 3,454656.5565,1808848.81
TOT4,16.360516,98.57876,290,TOT,site 4,455012.2276,1808860.902
TOT5,16.36095,98.58173,286,TOT,site 5,455329.5224,1808908.257
