Village,Survey,Site,HBR,survMaggr,CatchSite
HKT,1,1,2.42,3,HKT-1
HKT,1,2,3.08,3,HKT-2
HKT,1,3,2.08,3,HKT-3
HKT,1,4,4.1,3,HKT-4
HKT,1,5,6.16,3,HKT-5
HKT,2,1,1,3,HKT-1
HKT,2,2,1.75,3,HKT-2
HKT,2,3,1.8,3,HKT-3
HKT,2,4,4.1,3,HKT-4
HKT,2,5,0.55,3,HKT-5
HKT,3,1,0.22,3,HKT-1
HKT,3,2,0.26,3,HKT-2
HKT,3,3,0.3,3,HKT-3
HKT,3,4,0.64,3,HKT-4
HKT,3,5,0.46,3,HKT-5
HKT,4,1,0.04,6,HKT-1
HKT,4,2,0.24,6,HKT-2
HKT,4,3,0.4,6,HKT-3
HKT,4,4,0.24,6,HKT-4
HKT,4,5,0.24,6,HKT-5
HKT,5,1,0.02,6,HKT-1
HKT,5,2,0.02,6,HKT-2
HKT,5,3,0.12,6,HKT-3
HKT,5,4,0.08,6,HKT-4
HKT,5,5,0.2,6,HKT-5
HKT,6,1,0.02,6,HKT-1
HKT,6,2,0.28,6,HKT-2
HKT,6,3,0.44,6,HKT-3
HKT,6,4,0.6,6,HKT-4
HKT,6,5,1.06,6,HKT-5
HKT,7,1,0.04,9,HKT-1
HKT,7,2,0.46,9,HKT-2
HKT,7,3,0,9,HKT-3
HKT,7,4,0.1,9,HKT-4
HKT,7,5,0.16,9,HKT-5
HKT,8,1,0.16,9,HKT-1
HKT,8,2,0.14,9,HKT-2
HKT,8,3,0.36,9,HKT-3
HKT,8,4,1.14,9,HKT-4
HKT,8,5,0.88,9,HKT-5
HKT,9,1,0.42,9,HKT-1
HKT,9,2,0.6,9,HKT-2
HKT,9,3,1.18,9,HKT-3
HKT,9,4,3.22,9,HKT-4
HKT,9,5,0.46,9,HKT-5
HKT,10,1,1.96,12,HKT-1
HKT,10,2,0.4,12,HKT-2
HKT,10,3,1.38,12,HKT-3
HKT,10,4,3.86,12,HKT-4
